file,version,iter,time_namelookup,time_connect,time_appconnect,time_pretransfer,time_redirect,time_starttransfer,time_total
empty_file,quic,70,0.000051,0.081774,0.000000,0.081848,0.000000,0.156458,0.156498
empty_file,quic,71,0.000052,0.081238,0.000000,0.081346,0.000000,0.155581,0.155620
empty_file,quic,72,0.000026,0.083375,0.000000,0.083447,0.000000,0.167889,0.167991
empty_file,quic,73,0.000047,0.079948,0.000000,0.080025,0.000000,0.163646,0.163751
empty_file,quic,74,0.000049,0.079275,0.000000,0.079357,0.000000,0.164217,0.164313
empty_file,quic,75,0.000047,0.088318,0.000000,0.088405,0.000000,0.181672,0.181733
empty_file,quic,76,0.000067,0.079384,0.000000,0.079457,0.000000,0.154166,0.154220
empty_file,quic,77,0.000043,0.083148,0.000000,0.083231,0.000000,0.167205,0.167314
empty_file,quic,78,0.000047,0.070712,0.000000,0.070787,0.000000,0.145464,0.145534
empty_file,quic,79,0.000048,0.082120,0.000000,0.082202,0.000000,0.157296,0.157385
empty_file,quic,80,0.000048,0.079144,0.000000,0.079217,0.000000,0.155169,0.155263
empty_file,quic,81,0.000040,0.082119,0.000000,0.082192,0.000000,0.157306,0.157409
empty_file,quic,82,0.000052,0.163793,0.000000,0.163871,0.000000,0.239385,0.239483
empty_file,quic,83,0.000047,0.074411,0.000000,0.074483,0.000000,0.149312,0.149374
empty_file,quic,84,0.000071,0.119713,0.000000,0.119785,0.000000,0.194558,0.194621
empty_file,quic,85,0.000061,0.087234,0.000000,0.087316,0.000000,0.161470,0.161539
empty_file,quic,86,0.000082,0.072288,0.000000,0.072361,0.000000,0.146999,0.147054
empty_file,quic,87,0.000026,0.093518,0.000000,0.093628,0.000000,0.167851,0.167900
empty_file,quic,88,0.000063,0.077466,0.000000,0.077550,0.000000,0.152435,0.152533
empty_file,quic,89,0.000049,0.087846,0.000000,0.087919,0.000000,0.161388,0.161473
empty_file,quic,90,0.000068,0.086135,0.000000,0.086207,0.000000,0.160882,0.160966
empty_file,quic,91,0.000047,0.076722,0.000000,0.076795,0.000000,0.151597,0.151661
empty_file,quic,92,0.000061,0.097408,0.000000,0.097480,0.000000,0.172455,0.172528
empty_file,quic,93,0.000102,0.104051,0.000000,0.104125,0.000000,0.178880,0.178951
empty_file,quic,94,0.000047,0.088549,0.000000,0.088621,0.000000,0.162996,0.163099
empty_file,quic,95,0.000050,0.100226,0.000000,0.100299,0.000000,0.174603,0.174651
empty_file,quic,96,0.000061,0.090369,0.000000,0.090441,0.000000,0.164603,0.164665
empty_file,quic,97,0.000051,0.114863,0.000000,0.114936,0.000000,0.189790,0.189865
empty_file,quic,98,0.000053,0.075564,0.000000,0.075637,0.000000,0.150177,0.150228
empty_file,quic,99,0.000076,0.074763,0.000000,0.074843,0.000000,0.149564,0.149640
empty_file,quic,100,0.000062,0.100859,0.000000,0.100932,0.000000,0.164891,0.164951
